Entity,Code,Year,Poverty headcount ratio at national poverty lines (% of population)
Tajikistan,TJK,2016,30.299999237060547
Tajikistan,TJK,2017,29.5
Tajikistan,TJK,2018,27.399999618530273
Tajikistan,TJK,2019,26.299999237060547
Tanzania,TZA,2000,35.599998474121094
Tanzania,TZA,2007,34.400001525878906
Tanzania,TZA,2011,28.200000762939453
Tanzania,TZA,2017,26.399999618530273
Thailand,THA,2000,42.29999923706055
Thailand,THA,2002,32.400001525878906
Thailand,THA,2004,26.799999237060547
Thailand,THA,2006,21.899999618530273
Thailand,THA,2007,20
Thailand,THA,2008,20.399999618530273
Thailand,THA,2009,17.899999618530273
Thailand,THA,2010,16.399999618530273
Thailand,THA,2011,13.199999809265137
Thailand,THA,2012,12.600000381469727
Thailand,THA,2013,10.899999618530273
Thailand,THA,2014,10.5
Thailand,THA,2015,7.199999809265137
Thailand,THA,2016,8.600000381469727
Thailand,THA,2017,7.900000095367432
Thailand,THA,2018,9.899999618530273
Thailand,THA,2019,6.199999809265137
Thailand,THA,2020,6.800000190734863
Timor,TLS,2001,36.29999923706055
Timor,TLS,2007,50.400001525878906
Timor,TLS,2014,41.79999923706055
Togo,TGO,2006,61.70000076293945
Togo,TGO,2011,58.70000076293945
Togo,TGO,2015,55.099998474121094
Tonga,TON,2000,16.200000762939453
Tonga,TON,2009,22.5
Tunisia,TUN,2000,25.399999618530273
Tunisia,TUN,2005,23.100000381469727
Tunisia,TUN,2010,20.5
Tunisia,TUN,2015,15.199999809265137
Turkey,TUR,2001,25
Turkey,TUR,2005,18.600000381469727
Turkey,TUR,2006,16.299999237060547
Turkey,TUR,2007,16.700000762939453
Turkey,TUR,2008,17.100000381469727
Turkey,TUR,2009,16.899999618530273
Turkey,TUR,2010,16.100000381469727
Turkey,TUR,2011,16.299999237060547
Turkey,TUR,2012,15
Turkey,TUR,2013,15
Turkey,TUR,2014,14.699999809265137
Turkey,TUR,2015,14.300000190734863
Turkey,TUR,2016,13.5
Turkey,TUR,2017,13.899999618530273
Turkey,TUR,2018,14.399999618530273
Turkey,TUR,2019,15
Tuvalu,TUV,2010,26.299999237060547
Uganda,UGA,1992,56.400001525878906
Uganda,UGA,1996,44.400001525878906
Uganda,UGA,1999,33.79999923706055
Uganda,UGA,2002,38.79999923706055
Uganda,UGA,2005,31.100000381469727
Uganda,UGA,2009,24.5
Uganda,UGA,2012,19.700000762939453
Uganda,UGA,2016,21.399999618530273
Uganda,UGA,2019,20.299999237060547
Ukraine,UKR,2019,1.100000023841858
United Kingdom,GBR,2016,17
United Kingdom,GBR,2017,18.600000381469727
Uruguay,URY,2020,11.600000381469727
Uzbekistan,UZB,2012,15
Uzbekistan,UZB,2013,14.100000381469727
Vanuatu,VUT,2020,15.899999618530273
Venezuela,VEN,1997,55.599998474121094
Venezuela,VEN,1998,49
Venezuela,VEN,1999,42.79999923706055
Venezuela,VEN,2000,41.599998474121094
Venezuela,VEN,2001,31.100000381469727
Venezuela,VEN,2002,41.099998474121094
Venezuela,VEN,2003,54
Venezuela,VEN,2004,53.099998474121094
Venezuela,VEN,2005,42.400001525878906
Venezuela,VEN,2006,33.099998474121094
Venezuela,VEN,2007,27.5
Venezuela,VEN,2008,27.700000762939453
Venezuela,VEN,2009,26.399999618530273
Venezuela,VEN,2010,26.799999237060547
Venezuela,VEN,2011,27.399999618530273
Venezuela,VEN,2012,27.200000762939453
Venezuela,VEN,2013,29.399999618530273
Venezuela,VEN,2014,29.5
Venezuela,VEN,2015,33.099998474121094
Vietnam,VNM,2010,20.700000762939453
Vietnam,VNM,2012,17.200000762939453
Vietnam,VNM,2014,13.5
Vietnam,VNM,2016,9.800000190734863
Vietnam,VNM,2018,6.699999809265137
Yemen,YEM,2005,34.79999923706055
Yemen,YEM,2014,48.599998474121094
Zambia,ZMB,2010,54.70000076293945
Zambia,ZMB,2015,54.400001525878906
Zimbabwe,ZWE,2001,32.20000076293945
Zimbabwe,ZWE,2011,22.5
Zimbabwe,ZWE,2017,30.399999618530273
Zimbabwe,ZWE,2019,38.29999923706055
